w_viirs,w_modis,w_landsat,p_85,r_85,f1_85,p_60,r_60,f1_60,p_40,r_40,f1_40
0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0006871414913957935,0.0013733393043737871,0.9999730079896351,0.0790575491668943,0.1465304475770089
0.05,0.0,0.05,1.0,0.005554749385413821,0.011048129182043712,1.0,0.011325030729308933,0.022396421299178123,0.9999769998619992,0.09277903919694072,0.16980350956675244
0.05,0.0,0.1,1.0,0.010191887462441956,0.020178121778513847,1.0,0.016820028680688336,0.0330835904216248,0.9999776840507911,0.09562363425293635,0.17455528525434394
0.05,0.0,0.15,1.0,0.013529431849221524,0.026697659533254165,1.0,0.020848982518437587,0.040846359991471175,0.9999782428963057,0.09807984498770828,0.17863847484307288
0.05,0.0,0.2,1.0,0.01631427547118274,0.03210478464177654,1.0,0.023527127151051624,0.04597264992191947,0.9999787730842709,0.10052965378311937,0.18269286703198262
0.05,0.0,0.25,1.0,0.01874701242829828,0.03680405871053828,1.0,0.025872370936902485,0.05043974605393442,0.9999792147325975,0.10266576754984977,0.1862133964495209
0.05,0.0,0.3,1.0,0.020859652417372303,0.040866836823214875,1.0,0.028230418601475005,0.054910685563790244,0.9999794888624524,0.10403791655285441,0.18846764934417296
0.05,0.0,0.35,1.0,0.022671401256487297,0.04433760683760684,1.0,0.029613237503414366,0.057523031804097534,0.9999798317971885,0.10580698579623053,0.19136573194053927
0.05,0.0,0.4,1.0,0.024299627833925155,0.04744632756591214,1.0,0.030789060366020214,0.05973881863877641,0.9999801054411619,0.10726236001092598,0.19374297756869216
0.05,0.0,0.45,1.0,0.0260302854411363,0.05073979942014035,1.0,0.0321484054903032,0.06229415328124581,0.9999801307397326,0.10739893471729035,0.1939657415061944
0.05,0.0,0.5,1.0,0.02748565965583174,0.05350081414282391,1.0,0.034004967904944006,0.06577331630010133,0.999980270296932,0.10815863152144223,0.1952038637147044
0.05,0.0,0.55,1.0,0.02878738732586725,0.05596372521769433,1.0,0.034226901802786126,0.06618838040883365,0.9999802718538539,0.10816716744059,0.19521776555612683
0.05,0.0,0.6,1.0,0.029666586998087954,0.05762367619323952,1.0,0.03597249726850587,0.06944681902917821,0.9999805110015396,0.10949450286806883,0.19737689909389736
0.05,0.0,0.65,1.0,0.030518044933078393,0.059228550306579496,1.0,0.03617095738869162,0.06981658215908296,0.9999805147990102,0.10951584266593826,0.1974115696566262
0.05,0.0,0.7,1.0,0.03130121551488664,0.06070237297113864,1.0,0.036205101065282706,0.06988018304110187,0.9999805166971905,0.10952651256487299,0.19742890443787098
0.05,0.0,0.75,1.0,0.03300199740508058,0.06389532157339906,1.0,0.03700107552581262,0.07136169170712033,0.999980518595001,0.1095371824638077,0.19744623888571544
0.05,0.0,0.8,1.0,0.033505616634799236,0.06483877028921618,1.0,0.03706722889920787,0.07148471741519165,0.9999805223895133,0.10955852226167714,0.19748090678124203
0.05,0.0,0.85,1.0,0.03482441614313029,0.0673049758004813,1.0,0.037120578393881457,0.07158392026386669,0.9999805223895133,0.10955852226167714,0.19748090678124203
0.05,0.0,0.9,1.0,0.03496525880906856,0.06756798551731674,1.0,0.038503397295820814,0.07415170214383614,0.9999805526924798,0.10972924064463262,0.19775820194642993
0.05,0.0,0.95,1.0,0.03543686834198306,0.06844814865193502,1.0,0.0385418089319858,0.0742229318078612,0.9999805542051531,0.10973777656378039,0.1977720644651397
0.05,0.05,0.0,0.0,0.0,0.0,1.0,0.004003346080305927,0.007974766410759983,0.9999132019789949,0.14750068287353182,0.2570787787270286
0.05,0.05,0.05,1.0,0.005904722070472548,0.011740121983558735,1.0,0.014905848811800055,0.029373855376340696,0.9999193743449165,0.15879370390603662,0.2740642252857138
0.05,0.05,0.1,1.0,0.010467170854957662,0.02071748822102033,1.0,0.020356033187653645,0.03989986343112056,0.9999207617437699,0.16157427956842393,0.278195723542196
0.05,0.05,0.15,1.0,0.0137983133023764,0.02722102240914047,1.0,0.024207866703086587,0.04727139380604727,0.9999219451274246,0.16402408836383503,0.28181939843476445
0.05,0.05,0.2,1.0,0.0165383433488118,0.032538552937076734,1.0,0.02679425020486206,0.0521901056604401,0.9999230818537274,0.16644828940180278,0.285390212087894
0.05,0.05,0.25,1.0,0.019013759901666212,0.03731796497723646,1.0,0.029034928981152692,0.05643137694052848,0.9999240073459565,0.16847557019939907,0.288364991790899
