latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
43.854737,-78.913468,2837,1412,2025-08-10,1557,L8,OLI,M,D
43.854737,-78.913468,1667,6712,2025-08-10,1557,L8,OLI,L,D
44.379473,-77.028949,6622,4584,2025-08-10,1557,L8,OLI,H,D
43.18046,-79.692197,790,3951,2025-08-10,1557,L8,OLI,L,D
43.593741,-79.644256,895,2419,2025-08-10,1557,L8,OLI,H,D
43.594277,-79.643873,896,2417,2025-08-10,1557,L8,OLI,H,D
43.594006,-79.643879,896,2418,2025-08-10,1557,L8,OLI,H,D
43.569998,-79.623985,951,2506,2025-08-10,1557,L8,OLI,H,D
43.501703,-79.605498,1005,2758,2025-08-10,1557,L8,OLI,L,D
43.865834,-79.499968,1265,1405,2025-08-10,1557,L8,OLI,L,D
43.865829,-79.499594,1266,1405,2025-08-10,1557,L8,OLI,L,D
43.847155,-79.267918,1888,1462,2025-08-10,1557,L8,OLI,H,D
43.18019,-79.692203,790,3952,2025-08-10,1557,L8,OLI,H,D
43.594011,-79.64425,895,2418,2025-08-10,1557,L8,OLI,H,D
51.08681,-101.304646,837,6197,2025-08-10,1734,L8,OLI,H,D
51.08681,-101.304646,2387,997,2025-08-10,1734,L8,OLI,H,D
49.81458,-101.175232,2551,5721,2025-08-10,1734,L8,OLI,H,D
49.977766,-101.165008,2593,5117,2025-08-10,1734,L8,OLI,L,D
49.900277,-100.856138,3324,5424,2025-08-10,1734,L8,OLI,H,D
49.900008,-100.856128,3324,5425,2025-08-10,1734,L8,OLI,H,D
49.868839,-100.239965,4797,5571,2025-08-10,1734,L8,OLI,H,D
49.067329,-100.813815,4911,3313,2025-08-10,1734,L8,OLI,H,D
49.067059,-100.813805,4911,3314,2025-08-10,1734,L8,OLI,H,D
56.758776,-108.63771,5761,5993,2025-08-10,1821,L9,OLI-2,M,D
56.758506,-108.637727,5761,5994,2025-08-10,1821,L9,OLI-2,H,D
56.757699,-108.637777,5761,5997,2025-08-10,1821,L9,OLI-2,H,D
56.757429,-108.637794,5761,5998,2025-08-10,1821,L9,OLI-2,H,D
56.75768,-108.636797,5763,5997,2025-08-10,1821,L9,OLI-2,M,D
56.757671,-108.636307,5764,5997,2025-08-10,1821,L9,OLI-2,H,D
56.757401,-108.636324,5764,5998,2025-08-10,1821,L9,OLI-2,H,D
56.757661,-108.635817,5765,5997,2025-08-10,1821,L9,OLI-2,M,D
56.757392,-108.635833,5765,5998,2025-08-10,1821,L9,OLI-2,M,D
56.761894,-108.617388,5802,5980,2025-08-10,1821,L9,OLI-2,L,D
56.758237,-108.637744,5761,5995,2025-08-10,1821,L9,OLI-2,M,D
56.791289,-109.331726,4344,5914,2025-08-10,1821,L9,OLI-2,H,D
56.791282,-109.331235,4345,5914,2025-08-10,1821,L9,OLI-2,H,D
56.767084,-109.091288,4836,5991,2025-08-10,1821,L9,OLI-2,M,D
56.767346,-109.090784,4837,5990,2025-08-10,1821,L9,OLI-2,H,D
56.762122,-109.049329,4922,6007,2025-08-10,1821,L9,OLI-2,M,D
56.761852,-109.049342,4922,6008,2025-08-10,1821,L9,OLI-2,M,D
56.762114,-109.048838,4923,6007,2025-08-10,1821,L9,OLI-2,H,D
56.761845,-109.048852,4923,6008,2025-08-10,1821,L9,OLI-2,H,D
56.854664,-108.936755,5141,5657,2025-08-10,1821,L9,OLI-2,M,D
56.854656,-108.936264,5142,5657,2025-08-10,1821,L9,OLI-2,M,D
56.839434,-108.92874,5159,5713,2025-08-10,1821,L9,OLI-2,L,D
56.844935,-108.919089,5178,5692,2025-08-10,1821,L9,OLI-2,M,D
56.844666,-108.919104,5178,5693,2025-08-10,1821,L9,OLI-2,H,D
56.749038,-108.67905,5678,6032,2025-08-10,1821,L9,OLI-2,M,D
56.758265,-108.639214,5758,5995,2025-08-10,1821,L9,OLI-2,M,D
56.758794,-108.63869,5759,5993,2025-08-10,1821,L9,OLI-2,L,D
56.758525,-108.638707,5759,5994,2025-08-10,1821,L9,OLI-2,H,D
56.758256,-108.638724,5759,5995,2025-08-10,1821,L9,OLI-2,H,D
56.758516,-108.638217,5760,5994,2025-08-10,1821,L9,OLI-2,H,D
56.758246,-108.638234,5760,5995,2025-08-10,1821,L9,OLI-2,H,D
56.757708,-108.638268,5760,5997,2025-08-10,1821,L9,OLI-2,M,D
56.757439,-108.638285,5760,5998,2025-08-10,1821,L9,OLI-2,L,D
49.361801,-112.426316,5215,7472,2025-08-10,1823,L9,OLI-2,M,D
52.333021,-112.678444,3285,1637,2025-08-10,1823,L9,OLI-2,H,D
53.57345,-111.548269,4327,2277,2025-08-10,1823,L9,OLI-2,H,D
53.573452,-111.547816,4328,2277,2025-08-10,1823,L9,OLI-2,M,D
52.639914,-111.525883,4351,5739,2025-08-10,1823,L9,OLI-2,L,D
52.333015,-112.678884,3284,1637,2025-08-10,1823,L9,OLI-2,H,D
49.486844,-113.306488,3099,6956,2025-08-10,1823,L9,OLI-2,H,D
49.486844,-113.306488,4679,1756,2025-08-10,1824,L9,OLI-2,H,D
45.409526,-75.68746,4794,6278,2025-08-11,1550,L9,OLI-2,H,D
45.428459,-75.682321,4808,6208,2025-08-11,1550,L9,OLI-2,H,D
45.428462,-75.681937,4809,6208,2025-08-11,1550,L9,OLI-2,L,D
45.341209,-75.319033,5754,6537,2025-08-11,1550,L9,OLI-2,H,D
45.237289,-75.764499,4587,6914,2025-08-11,1550,L9,OLI-2,L,D
46.182273,-75.73901,4686,3415,2025-08-11,1550,L9,OLI-2,L,D
44.242912,-76.962072,2805,5313,2025-08-11,1551,L9,OLI-2,L,D
44.237866,-76.941241,2860,5333,2025-08-11,1551,L9,OLI-2,H,D
44.466069,-76.687429,3553,4503,2025-08-11,1551,L9,OLI-2,H,D
45.237289,-75.764499,6027,1684,2025-08-11,1551,L9,OLI-2,L,D
44.884078,-75.384493,7015,2999,2025-08-11,1551,L9,OLI-2,H,D
44.243181,-76.962081,2805,5312,2025-08-11,1551,L9,OLI-2,H,D
44.243188,-76.961705,2806,5312,2025-08-11,1551,L9,OLI-2,H,D
44.661414,-75.601742,6437,3820,2025-08-11,1551,L9,OLI-2,H,D
44.661688,-75.600988,6439,3819,2025-08-11,1551,L9,OLI-2,H,D
44.66115,-75.600604,6440,3821,2025-08-11,1551,L9,OLI-2,H,D
50.679838,-110.037024,7185,2505,2025-08-11,1817,L8,OLI,H,D
52.639914,-111.525883,2271,469,2025-08-11,1817,L8,OLI,M,D
50.679838,-110.037024,5725,7725,2025-08-11,1817,L8,OLI,H,D
56.318171,-105.56415,5724,7796,2025-08-12,1809,L9,OLI-2,H,D
56.317901,-105.564146,5724,7797,2025-08-12,1809,L9,OLI-2,H,D
56.318173,-105.563665,5725,7796,2025-08-12,1809,L9,OLI-2,H,D
56.317088,-105.565104,5722,7800,2025-08-12,1809,L9,OLI-2,L,D
56.317903,-105.563661,5725,7797,2025-08-12,1809,L9,OLI-2,H,D
56.318175,-105.56318,5726,7796,2025-08-12,1809,L9,OLI-2,M,D
56.317636,-105.563172,5726,7798,2025-08-12,1809,L9,OLI-2,H,D
56.317367,-105.563169,5726,7799,2025-08-12,1809,L9,OLI-2,H,D
56.317638,-105.562687,5727,7798,2025-08-12,1809,L9,OLI-2,H,D
56.317369,-105.562684,5727,7799,2025-08-12,1809,L9,OLI-2,H,D
56.31764,-105.562203,5728,7798,2025-08-12,1809,L9,OLI-2,M,D
56.320373,-105.553997,5745,7788,2025-08-12,1809,L9,OLI-2,L,D
56.326848,-105.552635,5748,7764,2025-08-12,1809,L9,OLI-2,L,D
56.327393,-105.551188,5751,7762,2025-08-12,1809,L9,OLI-2,H,D
56.320116,-105.551083,5751,7789,2025-08-12,1809,L9,OLI-2,L,D
56.319847,-105.551079,5751,7790,2025-08-12,1809,L9,OLI-2,M,D
56.325802,-105.545343,5763,7768,2025-08-12,1809,L9,OLI-2,L,D
56.325532,-105.54534,5763,7769,2025-08-12,1809,L9,OLI-2,M,D
56.325535,-105.544855,5764,7769,2025-08-12,1809,L9,OLI-2,H,D
56.317371,-105.562199,5728,7799,2025-08-12,1809,L9,OLI-2,H,D
56.302704,-105.586224,5678,7853,2025-08-12,1809,L9,OLI-2,M,D
56.302976,-105.585744,5679,7852,2025-08-12,1809,L9,OLI-2,M,D
56.302707,-105.58574,5679,7853,2025-08-12,1809,L9,OLI-2,H,D
56.302709,-105.585255,5680,7853,2025-08-12,1809,L9,OLI-2,L,D
56.30759,-105.579026,5693,7835,2025-08-12,1809,L9,OLI-2,M,D
56.307321,-105.579022,5693,7836,2025-08-12,1809,L9,OLI-2,M,D
56.307592,-105.578541,5694,7835,2025-08-12,1809,L9,OLI-2,L,D
56.307323,-105.578537,5694,7836,2025-08-12,1809,L9,OLI-2,L,D
56.30733,-105.577082,5697,7836,2025-08-12,1809,L9,OLI-2,L,D
56.307332,-105.576598,5698,7836,2025-08-12,1809,L9,OLI-2,H,D
56.307062,-105.576593,5698,7837,2025-08-12,1809,L9,OLI-2,H,D
56.308143,-105.576125,5699,7833,2025-08-12,1809,L9,OLI-2,M,D
56.307065,-105.576109,5699,7837,2025-08-12,1809,L9,OLI-2,L,D
56.310575,-105.574707,5702,7824,2025-08-12,1809,L9,OLI-2,L,D
56.310045,-105.572759,5706,7826,2025-08-12,1809,L9,OLI-2,H,D
56.310047,-105.572274,5707,7826,2025-08-12,1809,L9,OLI-2,H,D
56.317077,-105.567529,5717,7800,2025-08-12,1809,L9,OLI-2,H,D
56.317079,-105.567044,5718,7800,2025-08-12,1809,L9,OLI-2,M,D
56.325265,-105.544851,7504,2630,2025-08-12,1810,L9,OLI-2,L,D
56.302704,-105.586224,7418,2713,2025-08-12,1810,L9,OLI-2,M,D
56.302707,-105.58574,7419,2713,2025-08-12,1810,L9,OLI-2,H,D
56.302437,-105.585735,7419,2714,2025-08-12,1810,L9,OLI-2,H,D
56.327393,-105.551188,7491,2622,2025-08-12,1810,L9,OLI-2,H,D
56.327124,-105.551184,7491,2623,2025-08-12,1810,L9,OLI-2,M,D
56.319847,-105.551079,7491,2650,2025-08-12,1810,L9,OLI-2,M,D
56.325532,-105.54534,7503,2629,2025-08-12,1810,L9,OLI-2,H,D
56.325535,-105.544855,7504,2629,2025-08-12,1810,L9,OLI-2,M,D
56.30759,-105.579026,7433,2695,2025-08-12,1810,L9,OLI-2,L,D
56.307321,-105.579022,7433,2696,2025-08-12,1810,L9,OLI-2,H,D
56.307323,-105.578537,7434,2696,2025-08-12,1810,L9,OLI-2,L,D
56.30733,-105.577082,7437,2696,2025-08-12,1810,L9,OLI-2,L,D
56.307332,-105.576598,7438,2696,2025-08-12,1810,L9,OLI-2,M,D
56.307062,-105.576593,7438,2697,2025-08-12,1810,L9,OLI-2,H,D
56.308143,-105.576125,7439,2693,2025-08-12,1810,L9,OLI-2,M,D
56.307065,-105.576109,7439,2697,2025-08-12,1810,L9,OLI-2,L,D
56.310575,-105.574707,7442,2684,2025-08-12,1810,L9,OLI-2,L,D
56.310306,-105.574703,7442,2685,2025-08-12,1810,L9,OLI-2,M,D
56.310045,-105.572759,7446,2686,2025-08-12,1810,L9,OLI-2,M,D
56.309775,-105.572755,7446,2687,2025-08-12,1810,L9,OLI-2,M,D
56.310047,-105.572274,7447,2686,2025-08-12,1810,L9,OLI-2,M,D
56.309778,-105.57227,7447,2687,2025-08-12,1810,L9,OLI-2,M,D
56.317077,-105.567529,7457,2660,2025-08-12,1810,L9,OLI-2,H,D
56.316808,-105.567525,7457,2661,2025-08-12,1810,L9,OLI-2,H,D
56.317079,-105.567044,7458,2660,2025-08-12,1810,L9,OLI-2,M,D
56.318171,-105.56415,7464,2656,2025-08-12,1810,L9,OLI-2,H,D
56.317901,-105.564146,7464,2657,2025-08-12,1810,L9,OLI-2,H,D
56.318173,-105.563665,7465,2656,2025-08-12,1810,L9,OLI-2,M,D
56.317903,-105.563661,7465,2657,2025-08-12,1810,L9,OLI-2,H,D
56.318175,-105.56318,7466,2656,2025-08-12,1810,L9,OLI-2,M,D
56.317636,-105.563172,7466,2658,2025-08-12,1810,L9,OLI-2,H,D
56.317367,-105.563169,7466,2659,2025-08-12,1810,L9,OLI-2,H,D
56.317638,-105.562687,7467,2658,2025-08-12,1810,L9,OLI-2,H,D
56.317369,-105.562684,7467,2659,2025-08-12,1810,L9,OLI-2,H,D
56.317099,-105.56268,7467,2660,2025-08-12,1810,L9,OLI-2,L,D
56.317371,-105.562199,7468,2659,2025-08-12,1810,L9,OLI-2,H,D
56.320373,-105.553997,7485,2648,2025-08-12,1810,L9,OLI-2,L,D
56.320103,-105.553993,7485,2649,2025-08-12,1810,L9,OLI-2,L,D
56.326576,-105.553116,7487,2625,2025-08-12,1810,L9,OLI-2,L,D
56.326848,-105.552635,7488,2624,2025-08-12,1810,L9,OLI-2,L,D
50.057823,-110.728909,1884,4784,2025-08-12,1811,L9,OLI-2,H,D
50.057553,-110.728491,1885,4785,2025-08-12,1811,L9,OLI-2,H,D
50.057554,-110.72891,1884,4785,2025-08-12,1811,L9,OLI-2,H,D
50.057284,-110.728912,1884,4786,2025-08-12,1811,L9,OLI-2,M,D
50.057822,-110.72849,1885,4784,2025-08-12,1811,L9,OLI-2,H,D
46.522104,-84.368102,4916,7293,2025-08-13,1627,L8,OLI,M,D
46.522347,-84.366916,4919,7292,2025-08-13,1627,L8,OLI,H,D
46.522338,-84.366526,4920,7292,2025-08-13,1627,L8,OLI,H,D
46.522104,-84.368102,6166,2013,2025-08-13,1627,L8,OLI,M,D
46.522347,-84.366916,6169,2012,2025-08-13,1627,L8,OLI,H,D
46.522338,-84.366526,6170,2012,2025-08-13,1627,L8,OLI,H,D
49.20987,-97.040233,2655,2656,2025-08-13,1716,L9,OLI-2,H,D
49.310735,-96.81086,3201,2267,2025-08-13,1716,L9,OLI-2,L,D
49.310727,-96.810448,3202,2267,2025-08-13,1716,L9,OLI-2,H,D
49.310457,-96.81046,3202,2268,2025-08-13,1716,L9,OLI-2,H,D
49.672748,-96.69152,3449,917,2025-08-13,1716,L9,OLI-2,L,D
50.404048,-97.229095,852,3522,2025-08-13,1716,L9,OLI-2,H,D
49.824911,-96.80025,1931,5641,2025-08-13,1716,L9,OLI-2,H,D
51.808742,-107.195064,5203,3689,2025-08-13,1805,L8,OLI,H,D
51.809027,-107.194207,5205,3688,2025-08-13,1805,L8,OLI,M,D
49.652813,-108.53617,4675,959,2025-08-13,1805,L8,OLI,H,D
49.652813,-108.53617,3415,6249,2025-08-13,1805,L8,OLI,H,D
50.533055,-108.279743,3913,2966,2025-08-13,1805,L8,OLI,H,D
46.51863,-84.398092,2419,2151,2025-08-14,1621,L9,OLI-2,H,D
46.522359,-84.372508,2485,2140,2025-08-14,1621,L9,OLI-2,H,D
46.52264,-84.372134,2486,2139,2025-08-14,1621,L9,OLI-2,H,D
46.52237,-84.372117,2486,2140,2025-08-14,1621,L9,OLI-2,H,D
46.521946,-84.368179,2496,2142,2025-08-14,1621,L9,OLI-2,H,D
46.521958,-84.367789,2497,2142,2025-08-14,1621,L9,OLI-2,H,D
50.297002,-105.543844,6956,4014,2025-08-14,1759,L9,OLI-2,H,D
50.388073,-105.511546,7035,3677,2025-08-14,1759,L9,OLI-2,H,D
46.577312,-80.792556,7557,1980,2025-08-15,1615,L8,OLI,H,D
46.577311,-80.791773,7559,1980,2025-08-15,1615,L8,OLI,H,D
46.577041,-80.791774,7559,1981,2025-08-15,1615,L8,OLI,H,D
46.576771,-80.791775,7559,1982,2025-08-15,1615,L8,OLI,M,D
46.57758,-80.79138,7560,1979,2025-08-15,1615,L8,OLI,H,D
46.57731,-80.791381,7560,1980,2025-08-15,1615,L8,OLI,H,D
46.57704,-80.791382,7560,1981,2025-08-15,1615,L8,OLI,H,D
46.576504,-80.793734,6114,7213,2025-08-15,1615,L8,OLI,H,D
46.576504,-80.793342,6115,7213,2025-08-15,1615,L8,OLI,H,D
46.576503,-80.792951,6116,7213,2025-08-15,1615,L8,OLI,M,D
46.577582,-80.792555,6117,7209,2025-08-15,1615,L8,OLI,H,D
46.577312,-80.792556,6117,7210,2025-08-15,1615,L8,OLI,H,D
46.576504,-80.793734,7554,1983,2025-08-15,1615,L8,OLI,H,D
46.576504,-80.793342,7555,1983,2025-08-15,1615,L8,OLI,H,D
46.576503,-80.792951,7556,1983,2025-08-15,1615,L8,OLI,M,D
46.577582,-80.792555,7557,1979,2025-08-15,1615,L8,OLI,H,D
46.577042,-80.792557,6117,7211,2025-08-15,1615,L8,OLI,M,D
46.577042,-80.792557,7557,1981,2025-08-15,1615,L8,OLI,M,D
46.576232,-80.79256,7557,1984,2025-08-15,1615,L8,OLI,M,D
46.575962,-80.792561,7557,1985,2025-08-15,1615,L8,OLI,H,D
46.577582,-80.792163,7558,1979,2025-08-15,1615,L8,OLI,H,D
46.577312,-80.792164,7558,1980,2025-08-15,1615,L8,OLI,H,D
46.577042,-80.792165,7558,1981,2025-08-15,1615,L8,OLI,H,D
46.576772,-80.792166,7558,1982,2025-08-15,1615,L8,OLI,M,D
46.576232,-80.792168,7558,1984,2025-08-15,1615,L8,OLI,M,D
46.575962,-80.79217,7558,1985,2025-08-15,1615,L8,OLI,H,D
46.575692,-80.792171,7558,1986,2025-08-15,1615,L8,OLI,H,D
46.577581,-80.791772,7559,1979,2025-08-15,1615,L8,OLI,H,D
46.576232,-80.79256,6117,7214,2025-08-15,1615,L8,OLI,M,D
46.575962,-80.792561,6117,7215,2025-08-15,1615,L8,OLI,H,D
46.577582,-80.792163,6118,7209,2025-08-15,1615,L8,OLI,H,D
46.577312,-80.792164,6118,7210,2025-08-15,1615,L8,OLI,H,D
46.577042,-80.792165,6118,7211,2025-08-15,1615,L8,OLI,H,D
46.576772,-80.792166,6118,7212,2025-08-15,1615,L8,OLI,M,D
46.576232,-80.792168,6118,7214,2025-08-15,1615,L8,OLI,M,D
46.575962,-80.79217,6118,7215,2025-08-15,1615,L8,OLI,H,D
46.575692,-80.792171,6118,7216,2025-08-15,1615,L8,OLI,H,D
46.577581,-80.791772,6119,7209,2025-08-15,1615,L8,OLI,H,D
46.577311,-80.791773,6119,7210,2025-08-15,1615,L8,OLI,H,D
46.577041,-80.791774,6119,7211,2025-08-15,1615,L8,OLI,H,D
46.576771,-80.791775,6119,7212,2025-08-15,1615,L8,OLI,M,D
46.57758,-80.79138,6120,7209,2025-08-15,1615,L8,OLI,H,D
46.57731,-80.791381,6120,7210,2025-08-15,1615,L8,OLI,H,D
