latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
47.86303,-53.17181,309.91,1.08,1.04,2025-08-10,0003,Terra,MODIS,27,6.1NRT,290.04,9.95,N
47.88311,-53.10654,346.69,1.07,1.03,2025-08-10,0003,Terra,MODIS,100,6.1NRT,292.49,62.45,N
47.88089,-53.12024,321.27,1.07,1.03,2025-08-10,0003,Terra,MODIS,100,6.1NRT,291.89,21.13,N
47.87866,-53.13395,342.95,1.08,1.04,2025-08-10,0003,Terra,MODIS,100,6.1NRT,292.67,53.75,N
47.82706,-53.10958,339.87,1.08,1.04,2025-08-10,0003,Terra,MODIS,100,6.1NRT,290.51,49.7,N
47.82041,-53.15073,310,1.08,1.04,2025-08-10,0003,Terra,MODIS,69,6.1NRT,290.64,10.26,N
47.87864,-53.07584,310.42,1.07,1.03,2025-08-10,0003,Terra,MODIS,71,6.1NRT,290.61,11.08,N
47.87641,-53.08956,351.6,1.07,1.03,2025-08-10,0003,Terra,MODIS,100,6.1NRT,298.23,72.47,N
47.8742,-53.10321,367.72,1.07,1.03,2025-08-10,0003,Terra,MODIS,100,6.1NRT,300.52,120.05,N
47.87197,-53.11691,359.99,1.07,1.03,2025-08-10,0003,Terra,MODIS,100,6.1NRT,298.64,94.52,N
47.86526,-53.15813,357.79,1.08,1.04,2025-08-10,0003,Terra,MODIS,100,6.1NRT,297.94,89.06,N
47.81594,-53.17832,318.98,1.08,1.04,2025-08-10,0003,Terra,MODIS,65,6.1NRT,291.37,17.73,N
47.81372,-53.19205,317.98,1.08,1.04,2025-08-10,0003,Terra,MODIS,85,6.1NRT,290.18,17.44,N
47.8227,-53.18654,318.14,1.08,1.04,2025-08-10,0003,Terra,MODIS,95,6.1NRT,291.49,17.9,N
47.82044,-53.20028,307.51,1.08,1.04,2025-08-10,0003,Terra,MODIS,47,6.1NRT,289.49,8.87,N
47.81366,-53.13391,328.03,1.08,1.04,2025-08-10,0003,Terra,MODIS,100,6.1NRT,290.39,31.72,N
47.83168,-53.18958,330.92,1.08,1.04,2025-08-10,0003,Terra,MODIS,100,6.1NRT,294.39,32.57,N
47.82942,-53.20338,324.68,1.08,1.04,2025-08-10,0003,Terra,MODIS,99,6.1NRT,291.25,24.45,N
47.84288,-53.17912,330,1.08,1.04,2025-08-10,0003,Terra,MODIS,84,6.1NRT,294.02,29.69,N
47.84064,-53.19281,318.98,1.08,1.04,2025-08-10,0003,Terra,MODIS,37,6.1NRT,290.64,16.72,N
47.86304,-53.11365,321.79,1.07,1.03,2025-08-10,0003,Terra,MODIS,83,6.1NRT,294.04,20.1,N
47.86082,-53.1273,319.77,1.08,1.04,2025-08-10,0003,Terra,MODIS,77,6.1NRT,292.35,18.08,N
47.85631,-53.15495,334.68,1.08,1.04,2025-08-10,0003,Terra,MODIS,100,6.1NRT,295.4,37.24,N
47.85407,-53.16865,352.48,1.08,1.04,2025-08-10,0003,Terra,MODIS,100,6.1NRT,297.05,73.27,N
47.85184,-53.18229,327.52,1.08,1.04,2025-08-10,0003,Terra,MODIS,99,6.1NRT,290.77,26.89,N
47.16618,-65.42757,312.32,2.33,1.48,2025-08-10,0141,Terra,MODIS,85,6.1NRT,293.04,34.59,N
45.88744,-67.59266,310.58,1.71,1.28,2025-08-10,0141,Terra,MODIS,80,6.1NRT,289.83,21.75,N
47.1531,-65.42583,312.37,2.33,1.48,2025-08-10,0141,Terra,MODIS,85,6.1NRT,292.61,34.94,N
47.15138,-65.4562,303.11,2.32,1.47,2025-08-10,0141,Terra,MODIS,53,6.1NRT,292.09,13.93,N
42.80647,-80.10929,301.1,1.67,1.27,2025-08-10,0141,Terra,MODIS,38,6.1NRT,290.69,8.49,N
55.33934,-109.38431,336.14,1.33,1.14,2025-08-10,0323,Terra,MODIS,100,6.1NRT,281.8,56.71,N
56.51251,-102.11146,307.03,1.03,1.01,2025-08-10,0323,Terra,MODIS,31,6.1NRT,283.07,9.69,N
56.4569,-102.54327,312.14,1.02,1.01,2025-08-10,0323,Terra,MODIS,39,6.1NRT,280.57,12.75,N
56.47224,-102.56668,313.52,1.01,1.01,2025-08-10,0323,Terra,MODIS,87,6.1NRT,280.77,14.32,N
56.47017,-102.58254,328.33,1.01,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,283.46,29.09,N
56.48328,-102.56045,314.44,1.02,1.01,2025-08-10,0323,Terra,MODIS,89,6.1NRT,280.32,16.14,N
56.48121,-102.57632,315.2,1.01,1.01,2025-08-10,0323,Terra,MODIS,66,6.1NRT,281.73,15.36,N
56.47915,-102.59218,312.61,1.01,1.01,2025-08-10,0323,Terra,MODIS,85,6.1NRT,281.14,13.74,N
56.48371,-102.62776,326.78,1.01,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,283.03,27.4,N
56.49449,-102.61564,302.53,1.01,1.01,2025-08-10,0323,Terra,MODIS,18,6.1NRT,280.42,6.8,N
56.49242,-102.63152,312.43,1.01,1.01,2025-08-10,0323,Terra,MODIS,85,6.1NRT,279.47,13.82,N
56.50528,-102.6035,302.67,1.01,1.01,2025-08-10,0323,Terra,MODIS,35,6.1NRT,281.28,7.16,N
56.60148,-102.0695,313.23,1.03,1.01,2025-08-10,0323,Terra,MODIS,87,6.1NRT,281.92,15.19,N
56.26596,-104.51955,340.58,1,1,2025-08-10,0323,Terra,MODIS,100,6.1NRT,295.71,45.85,N
56.26367,-104.53506,341.52,1,1,2025-08-10,0323,Terra,MODIS,100,6.1NRT,295.04,47.51,N
56.21722,-104.84582,312.22,1.01,1,2025-08-10,0323,Terra,MODIS,84,6.1NRT,287.56,11.99,N
56.21487,-104.86136,311.64,1.01,1,2025-08-10,0323,Terra,MODIS,83,6.1NRT,287.82,12.09,N
56.21252,-104.87691,302.12,1.01,1.01,2025-08-10,0323,Terra,MODIS,47,6.1NRT,287.82,5.9,N
56.27457,-104.52375,320.66,1,1,2025-08-10,0323,Terra,MODIS,100,6.1NRT,290.88,19.44,N
56.27227,-104.53928,330.56,1,1,2025-08-10,0323,Terra,MODIS,100,6.1NRT,291.42,30.86,N
56.25243,-104.79629,315.76,1.01,1,2025-08-10,0323,Terra,MODIS,92,6.1NRT,287.24,15.76,N
56.68214,-102.0928,312.63,1.03,1.01,2025-08-10,0323,Terra,MODIS,48,6.1NRT,277.11,13.86,N
56.63282,-102.47971,360.76,1.02,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,298.05,0,N
56.65649,-102.43922,335.05,1.02,1.01,2025-08-10,0323,Terra,MODIS,94,6.1NRT,291.43,37.46,N
56.70853,-102.10384,319.26,1.03,1.01,2025-08-10,0323,Terra,MODIS,57,6.1NRT,279.69,18.7,N
56.70443,-102.13626,314.39,1.03,1.01,2025-08-10,0323,Terra,MODIS,24,6.1NRT,279.77,14.62,N
56.66729,-102.42698,329.95,1.02,1.01,2025-08-10,0323,Terra,MODIS,53,6.1NRT,288.24,28.84,N
56.71732,-102.10752,319.78,1.03,1.01,2025-08-10,0323,Terra,MODIS,20,6.1NRT,281.44,18.55,N
56.68433,-102.36635,310.83,1.02,1.01,2025-08-10,0323,Terra,MODIS,81,6.1NRT,284.45,11.72,N
56.67604,-102.43069,324.24,1.02,1.01,2025-08-10,0323,Terra,MODIS,0,6.1NRT,287.25,20.57,N
56.67397,-102.44673,309.01,1.02,1.01,2025-08-10,0323,Terra,MODIS,74,6.1NRT,284.67,11.21,N
56.72565,-102.11671,334.15,1.03,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,286.38,37.88,N
56.69501,-102.35957,319.65,1.02,1.01,2025-08-10,0323,Terra,MODIS,53,6.1NRT,286.74,18.8,N
56.69297,-102.37567,326.76,1.02,1.01,2025-08-10,0323,Terra,MODIS,52,6.1NRT,285.89,25.65,N
56.6868,-102.424,339.76,1.02,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,290.29,0,N
56.68475,-102.44004,347.32,1.02,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,293.13,0,N
56.6976,-102.41164,332.35,1.02,1.01,2025-08-10,0323,Terra,MODIS,44,6.1NRT,285.88,31.53,N
56.69555,-102.42772,321.91,1.02,1.01,2025-08-10,0323,Terra,MODIS,0,6.1NRT,284.09,18.64,N
56.75138,-102.059,315.6,1.03,1.02,2025-08-10,0323,Terra,MODIS,72,6.1NRT,277.11,16.4,N
56.71046,-102.38318,324.14,1.02,1.01,2025-08-10,0323,Terra,MODIS,23,6.1NRT,286.07,22.02,N
56.72128,-102.3708,340.9,1.02,1.01,2025-08-10,0323,Terra,MODIS,83,6.1NRT,292.68,45.27,N
56.71922,-102.3869,343.8,1.02,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,291.69,0,N
56.76898,-102.06641,331.37,1.03,1.02,2025-08-10,0323,Terra,MODIS,100,6.1NRT,279.97,34.19,N
56.47432,-102.5508,301.39,1.02,1.01,2025-08-10,0323,Terra,MODIS,18,6.1NRT,278.46,6.39,N
56.04915,-102.17252,344.74,1.02,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,288.43,54.46,N
56.04711,-102.18829,328.59,1.02,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,284.71,29.39,N
56.15356,-102.15574,318.98,1.02,1.01,2025-08-10,0323,Terra,MODIS,98,6.1NRT,284.62,20.21,N
56.14537,-102.21909,317.18,1.02,1.01,2025-08-10,0323,Terra,MODIS,95,6.1NRT,282.25,18.25,N
56.19524,-102.19576,312.28,1.02,1.01,2025-08-10,0323,Terra,MODIS,84,6.1NRT,283.03,14.68,N
56.45673,-100.3386,309.15,1.11,1.05,2025-08-10,0323,Terra,MODIS,57,6.1NRT,281.24,12.68,N
56.46588,-100.34196,309.81,1.11,1.05,2025-08-10,0323,Terra,MODIS,29,6.1NRT,281.44,12.34,N
56.30024,-101.80771,308.59,1.03,1.02,2025-08-10,0323,Terra,MODIS,75,6.1NRT,276.95,12.89,N
56.29899,-101.89198,321.98,1.03,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,274.57,23.99,N
56.32062,-102.08675,327.19,1.03,1.01,2025-08-10,0323,Terra,MODIS,100,6.1NRT,281.82,28.85,N
56.39167,-102.25716,300.19,1.02,1.01,2025-08-10,0323,Terra,MODIS,15,6.1NRT,279.55,6.23,N
55.29912,-109.31581,302.51,1.32,1.14,2025-08-10,0323,Terra,MODIS,29,6.1NRT,285.22,8.07,N
55.33918,-109.27519,304.28,1.32,1.14,2025-08-10,0323,Terra,MODIS,59,6.1NRT,277.02,10.74,N
55.3354,-109.29461,382.76,1.32,1.14,2025-08-10,0323,Terra,MODIS,100,6.1NRT,296.54,250.53,N
55.33161,-109.31403,339.69,1.32,1.14,2025-08-10,0323,Terra,MODIS,100,6.1NRT,280.22,65.72,N
