latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.44006,-60.40392,299.71,0.55,0.42,2025-08-10,0546,N,VIIRS,n,2,286.84,0.17,N,0
47.88589,-53.09177,323.34,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.43,1.56,N,0
47.88684,-53.09707,314.44,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.77,1.56,N,0
47.88494,-53.08648,302.62,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.16,0.38,N,3
47.88305,-53.07595,298.65,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,286.5,0.31,N,0
47.88599,-53.09386,337.03,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.48,5.87,N,0
47.88505,-53.08855,315.81,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.68,5.87,N,0
47.88456,-53.10575,354.66,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,295.92,27.09,N,0
47.88363,-53.10047,344.74,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,299.67,27.09,N,0
47.88269,-53.09517,349.73,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,295.19,5.87,N,0
47.88175,-53.08988,341.89,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.2,5.87,N,0
47.87988,-53.07933,320.4,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.79,1.36,N,0
47.8855,-53.11103,306.43,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.68,2.65,N,0
47.88081,-53.0846,300.83,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.09,1.36,N,0
47.88313,-53.11761,336.8,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.66,12.11,N,0
47.88219,-53.11233,367,0.4,0.37,2025-08-10,0547,N,VIIRS,h,2,303.2,12.11,N,0
47.88126,-53.10706,356.18,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,295.16,9.45,N,0
47.88032,-53.10178,346.11,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,294.93,9.45,N,0
47.87939,-53.0965,335.87,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,293.89,2.08,N,0
47.87844,-53.09121,305.93,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.04,2.08,N,0
47.87751,-53.08592,314.91,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.55,1.14,N,0
47.87983,-53.11892,338.22,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.19,12.11,N,0
47.87889,-53.11365,350.68,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,293.61,12.11,N,0
47.87796,-53.10839,336.24,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.14,9.45,N,0
47.88076,-53.1242,309.36,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.91,1.38,N,0
47.87702,-53.1031,318.15,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.64,9.45,N,0
47.87608,-53.09782,314.59,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.74,2.08,N,0
47.87514,-53.09254,312.18,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.86,2.08,N,0
47.8742,-53.08725,311.21,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.27,1.14,N,0
47.87326,-53.08198,300.51,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.17,1.14,N,0
47.8784,-53.13079,326.21,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.75,6.02,N,0
47.87746,-53.12552,326.58,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292,6.02,N,0
47.87653,-53.12025,330.99,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.36,6.76,N,0
47.87559,-53.11499,343.59,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,293.42,6.76,N,0
47.87465,-53.10972,348.25,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,297.12,3.22,N,0
47.87372,-53.10444,313.1,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.53,3.22,N,0
47.87278,-53.09915,308.49,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.11,1.34,N,0
47.87184,-53.09385,307.94,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.59,1.34,N,0
47.8709,-53.08855,311.2,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.33,1.08,N,0
47.87696,-53.14263,328.56,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.46,8.13,N,0
47.87603,-53.13737,367,0.4,0.37,2025-08-10,0547,N,VIIRS,h,2,300.28,8.13,N,0
47.8751,-53.13211,352.25,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,298.27,6.02,N,0
47.87416,-53.12685,354.85,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,297.01,6.02,N,0
47.87323,-53.12159,367,0.4,0.37,2025-08-10,0547,N,VIIRS,h,2,292.89,6.76,N,0
47.8723,-53.11633,331.81,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292.21,6.76,N,0
47.87135,-53.11106,323.17,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.19,3.22,N,0
47.87041,-53.10578,310.32,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.22,3.22,N,0
47.86947,-53.10047,308.57,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.85,1.34,N,0
47.8746,-53.14921,328.61,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.38,5.8,N,0
47.87366,-53.14394,355.93,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,301.76,28.31,N,0
47.87272,-53.13868,352.18,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,299.48,28.31,N,0
47.87179,-53.13342,352.09,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,297.87,7.15,N,0
47.87086,-53.12818,341.35,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292.41,7.15,N,0
47.86993,-53.12292,331.15,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.38,2.46,N,0
47.86899,-53.11766,326.67,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.82,2.46,N,0
47.86805,-53.11238,318.3,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.18,1.7,N,0
47.86711,-53.10708,311.1,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.82,1.7,N,0
47.86617,-53.10177,306.08,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.89,1.45,N,0
47.8713,-53.15054,344.08,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.32,5.8,N,0
47.8685,-53.13477,341.92,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.57,7.15,N,0
47.8638,-53.10839,320.68,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.86,1.7,N,0
47.86662,-53.12426,313.26,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.48,2.46,N,0
47.86568,-53.11898,316.84,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.89,2.46,N,0
47.86475,-53.11369,314.74,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.17,1.7,N,0
47.86894,-53.15718,344.13,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292.39,5.68,N,0
47.86799,-53.15186,352.53,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,298.1,5.68,N,0
47.86333,-53.12559,321.85,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.32,1.31,N,0
47.86427,-53.13088,305.97,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.81,0.97,N,0
47.86238,-53.12029,313.66,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.32,1.31,N,0
47.86144,-53.11499,303.83,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.83,0.89,N,0
47.8605,-53.10968,307.18,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.84,0.89,N,0
47.86563,-53.15847,341.19,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292.23,5.68,N,0
